Report_ID,Constituent_ID,Fundraiser_ID,Contact_Date,Contact_Type,Contact_Report_Text,Est_Gift_Capacity,Suggested_CRM_Tags,Sentiment_Score,Sentiment_Label
REP_2001,DONOR_1081,GO_101,2024-10-26,Phone Call,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,100000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2086,DONOR_1025,O,2024-10-26,In-Person Lunch,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,45000,Analytics_PublicHealth,1.0,Positive
REP_2074,DONOR_1086,O,2024-10-29,In-Person Lunch,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,100000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2331,DONOR_1072,O,2024-10-30,In-Person Lunch,"Met over lunch to discuss student entrepreneurship initiatives. The donor expressed strong interest in supporting Lassonde programs, specifically funding pitch competitions for underrepresented founders and black-owned student startups in hair care and consumer tech. Highly enthusiastic about mentoring undergraduate founders.",30000,"Lassonde_Entrepreneurship, Underrepresented_Founders, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2230,DONOR_1077,O,2024-10-30,Campus Tour,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,120000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2178,DONOR_1021,O,2024-10-30,In-Person Lunch,Phone call to discuss endowed giving. Constituent wants to ensure funding directly benefits diverse student entrepreneurs and underrepresented founders entering local startup accelerators.,16000,"Lassonde_Entrepreneurship, Underrepresented_Founders",0.0,Neutral
REP_2309,DONOR_1065,O,2024-11-01,Campus Tour,Virtual call to discuss renewal. Donor cited economic uncertainty and expressed hesitation to commit to a multi-year pledge this fiscal year. Unhappy with lack of personal updates from the college dean.,22500,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2359,DONOR_1018,O,2024-11-02,Event Reception,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,50000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2003,DONOR_1075,O,2024-11-02,In-Person Lunch,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,50000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2401,DONOR_1008,O,2024-11-02,Virtual Call,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",10000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2297,DONOR_1091,O,2024-11-07,Virtual Call,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,24000,Analytics_PublicHealth,1.0,Positive
REP_2075,DONOR_1074,O,2024-11-09,In-Person Lunch,Virtual call to discuss renewal. Donor cited economic uncertainty and expressed hesitation to commit to a multi-year pledge this fiscal year. Unhappy with lack of personal updates from the college dean.,22500,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2243,DONOR_1009,O,2024-11-13,Coffee Meeting,"Met over lunch to discuss student entrepreneurship initiatives. The donor expressed strong interest in supporting Lassonde programs, specifically funding pitch competitions for underrepresented founders and black-owned student startups in hair care and consumer tech. Highly enthusiastic about mentoring undergraduate founders.",37500,"Lassonde_Entrepreneurship, Underrepresented_Founders, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2274,DONOR_1092,O,2024-11-14,Coffee Meeting,Phone call to discuss endowed giving. Constituent wants to ensure funding directly benefits diverse student entrepreneurs and underrepresented founders entering local startup accelerators.,20000,"Lassonde_Entrepreneurship, Underrepresented_Founders",0.0,Neutral
REP_2170,DONOR_1029,O,2024-11-14,Virtual Call,Brief phone check-in. Constituent was busy and neutral regarding current campaign priorities. Asked to receive updates via email instead of in-person visits until next spring.,7500,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2489,DONOR_1008,O,2024-11-15,Phone Call,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,40000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2239,DONOR_1067,O,2024-11-16,Campus Tour,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",8000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2429,DONOR_1040,O,2024-11-16,Event Reception,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,30000,Analytics_PublicHealth,1.0,Positive
REP_2351,DONOR_1064,O,2024-11-16,In-Person Lunch,Virtual catch-up regarding the new Business Analytics fellowship fund. Donor shared their background in healthcare data analytics and wants to sponsor capstone projects focusing on public health resource allocation. Warm interaction overall.,18000,"Analytics_PublicHealth, Scholarships_Fellowships",1.0,Positive
REP_2090,DONOR_1089,O,2024-11-21,Event Reception,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,24000,Analytics_PublicHealth,1.0,Positive
REP_2106,DONOR_1059,O,2024-11-21,Virtual Call,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",12000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2159,DONOR_1080,O,2024-11-22,Campus Tour,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,100000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2213,DONOR_1022,O,2024-11-23,Campus Tour,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",8000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2446,DONOR_1070,O,2024-11-27,Phone Call,"Met over lunch to discuss student entrepreneurship initiatives. The donor expressed strong interest in supporting Lassonde programs, specifically funding pitch competitions for underrepresented founders and black-owned student startups in hair care and consumer tech. Highly enthusiastic about mentoring undergraduate founders.",25000,"Lassonde_Entrepreneurship, Underrepresented_Founders, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2016,DONOR_1087,O,2024-11-27,Campus Tour,"Met over lunch to discuss student entrepreneurship initiatives. The donor expressed strong interest in supporting Lassonde programs, specifically funding pitch competitions for underrepresented founders and black-owned student startups in hair care and consumer tech. Highly enthusiastic about mentoring undergraduate founders.",30000,"Lassonde_Entrepreneurship, Underrepresented_Founders, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2050,DONOR_1064,O,2024-11-28,Event Reception,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,50000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2030,DONOR_1039,O,2024-11-29,Campus Tour,Virtual call to discuss renewal. Donor cited economic uncertainty and expressed hesitation to commit to a multi-year pledge this fiscal year. Unhappy with lack of personal updates from the college dean.,12000,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2147,DONOR_1018,O,2024-12-01,Campus Tour,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,120000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2216,DONOR_1058,O,2024-12-02,Coffee Meeting,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",15000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2414,DONOR_1038,O,2024-12-02,Event Reception,Virtual call to discuss renewal. Donor cited economic uncertainty and expressed hesitation to commit to a multi-year pledge this fiscal year. Unhappy with lack of personal updates from the college dean.,15000,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2206,DONOR_1069,O,2024-12-02,Coffee Meeting,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,100000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2394,DONOR_1009,O,2024-12-03,Event Reception,Difficult meeting at local cafe. Donor expressed frustration over recent event organization and poor communication regarding past gift allocation. Stated they are putting further contributions on hold until receiving an audit of their endowed scholarship fund.,50000,Scholarships_Fellowships,-1.0,Negative (At Risk)
REP_2017,DONOR_1051,O,2024-12-07,Campus Tour,Virtual call to discuss renewal. Donor cited economic uncertainty and expressed hesitation to commit to a multi-year pledge this fiscal year. Unhappy with lack of personal updates from the college dean.,18000,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2310,DONOR_1004,O,2024-12-08,Campus Tour,Phone call to discuss endowed giving. Constituent wants to ensure funding directly benefits diverse student entrepreneurs and underrepresented founders entering local startup accelerators.,24000,"Lassonde_Entrepreneurship, Underrepresented_Founders",0.0,Neutral
REP_2031,DONOR_1010,O,2024-12-10,Event Reception,Virtual catch-up regarding the new Business Analytics fellowship fund. Donor shared their background in healthcare data analytics and wants to sponsor capstone projects focusing on public health resource allocation. Warm interaction overall.,15000,"Analytics_PublicHealth, Scholarships_Fellowships",1.0,Positive
REP_2073,DONOR_1042,O,2024-12-11,Virtual Call,Phone call to discuss endowed giving. Constituent wants to ensure funding directly benefits diverse student entrepreneurs and underrepresented founders entering local startup accelerators.,30000,"Lassonde_Entrepreneurship, Underrepresented_Founders",0.0,Neutral
REP_2037,DONOR_1004,O,2024-12-12,Event Reception,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,36000,Analytics_PublicHealth,1.0,Positive
REP_2137,DONOR_1051,O,2024-12-15,Event Reception,"Met over lunch to discuss student entrepreneurship initiatives. The donor expressed strong interest in supporting Lassonde programs, specifically funding pitch competitions for underrepresented founders and black-owned student startups in hair care and consumer tech. Highly enthusiastic about mentoring undergraduate founders.",25000,"Lassonde_Entrepreneurship, Underrepresented_Founders, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2308,DONOR_1081,O,2024-12-16,Phone Call,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",12000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2449,DONOR_1034,O,2024-12-16,Phone Call,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,80000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2044,DONOR_1059,O,2024-12-17,Coffee Meeting,Difficult meeting at local cafe. Donor expressed frustration over recent event organization and poor communication regarding past gift allocation. Stated they are putting further contributions on hold until receiving an audit of their endowed scholarship fund.,40000,Scholarships_Fellowships,-1.0,Negative (At Risk)
REP_2249,DONOR_1042,O,2024-12-18,Event Reception,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,50000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2312,DONOR_1047,O,2024-12-18,Event Reception,Virtual catch-up regarding the new Business Analytics fellowship fund. Donor shared their background in healthcare data analytics and wants to sponsor capstone projects focusing on public health resource allocation. Warm interaction overall.,18000,"Analytics_PublicHealth, Scholarships_Fellowships",1.0,Positive
REP_2451,DONOR_1096,O,2024-12-18,Virtual Call,Virtual catch-up regarding the new Business Analytics fellowship fund. Donor shared their background in healthcare data analytics and wants to sponsor capstone projects focusing on public health resource allocation. Warm interaction overall.,15000,"Analytics_PublicHealth, Scholarships_Fellowships",1.0,Positive
REP_2443,DONOR_1034,O,2024-12-20,Virtual Call,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",15000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2369,DONOR_1005,O,2024-12-20,Virtual Call,Brief phone check-in. Constituent was busy and neutral regarding current campaign priorities. Asked to receive updates via email instead of in-person visits until next spring.,6000,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2458,DONOR_1091,O,2024-12-24,Virtual Call,Virtual catch-up regarding the new Business Analytics fellowship fund. Donor shared their background in healthcare data analytics and wants to sponsor capstone projects focusing on public health resource allocation. Warm interaction overall.,22500,"Analytics_PublicHealth, Scholarships_Fellowships",1.0,Positive
REP_2303,DONOR_1066,O,2024-12-24,Phone Call,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",8000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2105,DONOR_1075,O,2024-12-25,Phone Call,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",10000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2260,DONOR_1013,O,2024-12-26,Event Reception,Virtual catch-up regarding the new Business Analytics fellowship fund. Donor shared their background in healthcare data analytics and wants to sponsor capstone projects focusing on public health resource allocation. Warm interaction overall.,12000,"Analytics_PublicHealth, Scholarships_Fellowships",1.0,Positive
REP_2138,DONOR_1019,O,2024-12-27,Campus Tour,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,75000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2486,DONOR_1037,O,2024-12-27,In-Person Lunch,Virtual catch-up regarding the new Business Analytics fellowship fund. Donor shared their background in healthcare data analytics and wants to sponsor capstone projects focusing on public health resource allocation. Warm interaction overall.,18000,"Analytics_PublicHealth, Scholarships_Fellowships",1.0,Positive
REP_2457,DONOR_1023,O,2024-12-27,Event Reception,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,100000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2461,DONOR_1013,O,2024-12-29,Campus Tour,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",15000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2192,DONOR_1093,O,2025-01-01,Virtual Call,Phone call to discuss endowed giving. Constituent wants to ensure funding directly benefits diverse student entrepreneurs and underrepresented founders entering local startup accelerators.,30000,"Lassonde_Entrepreneurship, Underrepresented_Founders",0.0,Neutral
REP_2021,DONOR_1017,O,2025-01-02,In-Person Lunch,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,50000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2207,DONOR_1015,O,2025-01-02,Phone Call,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,24000,Analytics_PublicHealth,1.0,Positive
REP_2062,DONOR_1032,O,2025-01-03,Phone Call,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",12000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2421,DONOR_1057,O,2025-01-03,Event Reception,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,24000,Analytics_PublicHealth,1.0,Positive
REP_2445,DONOR_1083,O,2025-01-04,Coffee Meeting,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",15000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2045,DONOR_1006,O,2025-01-04,Campus Tour,Virtual catch-up regarding the new Business Analytics fellowship fund. Donor shared their background in healthcare data analytics and wants to sponsor capstone projects focusing on public health resource allocation. Warm interaction overall.,22500,"Analytics_PublicHealth, Scholarships_Fellowships",1.0,Positive
REP_2085,DONOR_1065,O,2025-01-04,Campus Tour,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,100000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2224,DONOR_1011,O,2025-01-04,Coffee Meeting,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,60000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2222,DONOR_1051,O,2025-01-06,Virtual Call,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",12000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2488,DONOR_1044,O,2025-01-08,Coffee Meeting,Brief phone check-in. Constituent was busy and neutral regarding current campaign priorities. Asked to receive updates via email instead of in-person visits until next spring.,6000,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2339,DONOR_1031,O,2025-01-08,In-Person Lunch,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,150000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2220,DONOR_1058,O,2025-01-10,Phone Call,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,50000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2172,DONOR_1012,O,2025-01-11,Event Reception,Brief phone check-in. Constituent was busy and neutral regarding current campaign priorities. Asked to receive updates via email instead of in-person visits until next spring.,4000,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2271,DONOR_1009,O,2025-01-12,Event Reception,Difficult meeting at local cafe. Donor expressed frustration over recent event organization and poor communication regarding past gift allocation. Stated they are putting further contributions on hold until receiving an audit of their endowed scholarship fund.,40000,Scholarships_Fellowships,-1.0,Negative (At Risk)
REP_2002,DONOR_1028,O,2025-01-13,Phone Call,Difficult meeting at local cafe. Donor expressed frustration over recent event organization and poor communication regarding past gift allocation. Stated they are putting further contributions on hold until receiving an audit of their endowed scholarship fund.,40000,Scholarships_Fellowships,-1.0,Negative (At Risk)
REP_2115,DONOR_1075,O,2025-01-13,Phone Call,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,80000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
REP_2007,DONOR_1097,O,2025-01-13,In-Person Lunch,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",8000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2462,DONOR_1071,O,2025-01-14,In-Person Lunch,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,60000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2089,DONOR_1083,O,2025-01-18,Coffee Meeting,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,30000,Analytics_PublicHealth,1.0,Positive
REP_2345,DONOR_1068,O,2025-01-19,Coffee Meeting,Virtual catch-up regarding the new Business Analytics fellowship fund. Donor shared their background in healthcare data analytics and wants to sponsor capstone projects focusing on public health resource allocation. Warm interaction overall.,18000,"Analytics_PublicHealth, Scholarships_Fellowships",1.0,Positive
REP_2198,DONOR_1081,O,2025-01-19,Phone Call,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,45000,Analytics_PublicHealth,1.0,Positive
REP_2042,DONOR_1051,O,2025-01-20,Campus Tour,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,30000,Analytics_PublicHealth,1.0,Positive
REP_2025,DONOR_1098,O,2025-01-23,Virtual Call,"Met to discuss campus capital updates. Donor feels slightly disconnected from the university's recent strategic direction. Not interested in general annual fund, but might consider targeted gifts to student incubators if leadership provides clearer ROI metrics.",10000,"Lassonde_Entrepreneurship, Capital_Facilities",0.33,Positive
REP_2162,DONOR_1011,O,2025-01-25,Coffee Meeting,Toured the campus innovation hub. Donor was impressed by student prototype displays. Expressed interest in creating a seed grant pool for student-led startups in sustainable beauty and wellness products. Requested a formal proposal for $50k.,50000,"Lassonde_Entrepreneurship, HairCare_Beauty_ConsumerTech, Analytics_PublicHealth",1.0,Positive
REP_2496,DONOR_1025,O,2025-01-25,Virtual Call,Brief phone check-in. Constituent was busy and neutral regarding current campaign priorities. Asked to receive updates via email instead of in-person visits until next spring.,6000,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2500,DONOR_1030,O,2025-01-28,Campus Tour,Phone call to discuss endowed giving. Constituent wants to ensure funding directly benefits diverse student entrepreneurs and underrepresented founders entering local startup accelerators.,20000,"Lassonde_Entrepreneurship, Underrepresented_Founders",0.0,Neutral
REP_2404,DONOR_1083,O,2025-01-30,Campus Tour,Difficult meeting at local cafe. Donor expressed frustration over recent event organization and poor communication regarding past gift allocation. Stated they are putting further contributions on hold until receiving an audit of their endowed scholarship fund.,75000,Scholarships_Fellowships,-1.0,Negative (At Risk)
REP_2241,DONOR_1037,O,2025-01-31,In-Person Lunch,Brief phone check-in. Constituent was busy and neutral regarding current campaign priorities. Asked to receive updates via email instead of in-person visits until next spring.,7500,Analytics_PublicHealth,-1.0,Negative (At Risk)
REP_2034,DONOR_1066,O,2025-02-01,Campus Tour,Coffee meeting to review annual giving options. Donor asked how AI and data science are being integrated into the curriculum. Would consider a major gift if tied directly to undergraduate research assistantships.,24000,Analytics_PublicHealth,1.0,Positive
REP_2325,DONOR_1016,O,2025-02-10,Coffee Meeting,Difficult meeting at local cafe. Donor expressed frustration over recent event organization and poor communication regarding past gift allocation. Stated they are putting further contributions on hold until receiving an audit of their endowed scholarship fund.,40000,Scholarships_Fellowships,-1.0,Negative (At Risk)
REP_2054,DONOR_1033,O,2025-02-12,Phone Call,Met at alumni event reception. Donor spoke passionately about first-generation student scholarships and leadership development programs. Interested in endowing an annual scholarship for women in STEM.,150000,"Underrepresented_Founders, Scholarships_Fellowships",1.0,Positive
